src_ip,dst_ip,src_port,dst_port,protocol,duration,total_packets,total_bytes,min_packet_size,max_packet_size,avg_packet_size,std_packet_size,syn_count,ack_count,fin_count,rst_count,psh_count,urg_count,packets_per_second,bytes_per_second,bytes_per_packet,forward_packets,backward_packets,forward_bytes,backward_bytes,forward_backward_ratio,avg_iat,std_iat,min_iat,max_iat,syn_ack_ratio,is_port_22,is_port_6200,is_ftp_port,is_ftp_data_port,label
10.0.2.4,10.0.2.5,44017,22,TCP,2.1037678718566895,26,5451,66,1602,209.65384615384616,340.87770673182126,2,25,2,0,13,0,12.3587779563596,2591.0653323121605,209.65384615384616,13,13,2771,2680,1.0,0.08415071487426758,0.3851219984434757,9.5367431640625e-07,1.9702119827270508,0.08,1,0,0,0,2
192.168.113.129,192.168.113.130,34105,21,TCP,9.837575912475586,19,1331,54,100,70.05263157894737,11.966944314765025,2,14,2,4,7,0,1.9313701026596426,135.2975582442097,70.05263157894737,10,9,643,688,1.1111111111111112,0.5465319951375326,2.2432820357078573,0.0,9.795772075653076,0.14285714285714285,0,0,1,0,1
10.0.2.4,10.0.2.5,40603,22,TCP,1.8872649669647217,26,5451,66,1602,209.65384615384616,340.87770673182126,2,25,2,0,13,0,13.776549904285917,2888.3066741639436,209.65384615384616,13,13,2771,2680,1.0,0.07549059867858887,0.3421508450103339,3.0040740966796875e-05,1.7508351802825928,0.08,1,0,0,0,2
192.168.113.129,192.168.113.130,35668,22,TCP,0.004839897155761719,13,3264,66,1602,251.07692307692307,441.2615588441956,2,12,2,0,4,0,2686.007487684729,674394.4953694581,251.07692307692307,6,7,1972,1292,0.8571428571428571,0.00040332476298014325,0.0006730455445359088,4.1961669921875e-05,0.0025739669799804688,0.16666666666666666,1,0,0,0,0
192.168.113.129,192.168.113.130,41273,21,TCP,9.832887172698975,19,1329,54,100,69.94736842105263,11.905211968804279,2,14,2,4,7,0,1.9322910622582476,135.1586748284848,69.94736842105263,10,9,641,688,1.1111111111111112,0.5462715095943875,2.24297518970717,0.0,9.794246196746826,0.14285714285714285,0,0,1,0,1
192.168.113.129,192.168.113.130,38303,6200,TCP,9.827374935150146,19,1408,66,93,74.10526315789474,10.207812987284765,2,18,2,0,7,0,1.9333748966920545,143.27325550223225,74.10526315789474,11,8,809,599,1.375,0.5459652741750082,1.4040889500012514,1.5974044799804688e-05,5.2089550495147705,0.1111111111111111,0,1,0,0,1
192.168.113.129,192.168.113.130,47206,22,TCP,0.0049669742584228516,13,3264,66,1602,251.07692307692307,441.2615588441956,2,12,2,0,4,0,2617.2875726011616,657140.5105361686,251.07692307692307,6,7,1972,1292,0.8571428571428571,0.0004139145215352376,0.0006511597941578715,1.0967254638671875e-05,0.0025000572204589844,0.16666666666666666,1,0,0,0,0
192.168.113.129,192.168.113.130,34772,22,TCP,0.005232095718383789,13,3264,66,1602,251.07692307692307,441.2615588441956,2,12,2,0,4,0,2484.6640236956027,623841.797949419,251.07692307692307,6,7,1972,1292,0.8571428571428571,0.0004360079765319824,0.0006380942826293889,3.814697265625e-06,0.0024559497833251953,0.16666666666666666,1,0,0,0,0
10.0.2.4,10.0.2.5,37401,22,TCP,2.251478910446167,26,5451,66,1602,209.65384615384616,340.87770673182126,2,25,2,0,13,0,11.547965152757163,2421.0753095261266,209.65384615384616,13,13,2771,2680,1.0,0.09005915641784668,0.4184833407619809,1.1920928955078125e-05,2.1395368576049805,0.08,1,0,0,0,2
10.0.2.4,10.0.2.5,45419,22,TCP,2.402514934539795,26,5451,66,1602,209.65384615384616,340.87770673182126,2,25,2,0,13,0,10.821993081587372,2268.8724726051064,209.65384615384616,13,13,2771,2680,1.0,0.0961005973815918,0.4484250727896864,9.5367431640625e-07,2.2923099994659424,0.08,1,0,0,0,2
